section_id,lesson_id,lesson_number,lesson_title,section_order,section_level,section_type,section_label_raw,source_part_id,source_part_label,parent_section_id,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,audio_asset_ids,review_status,source_file
S02-008-01,boya-intermediate-i-lesson-02,2,真正的朋友,28,3,paragraph_speaking,成段叙述,,听说（一）,S02-008,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-008-02,boya-intermediate-i-lesson-02,2,真正的朋友,29,3,speech,三分钟演讲,,听说（一）,S02-008,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-008-03,boya-intermediate-i-lesson-02,2,真正的朋友,30,3,classroom_practice,课堂实践,,听说（一）,S02-008,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-008-04,boya-intermediate-i-lesson-02,2,真正的朋友,31,3,survey_report,调查报告,,听说（一）,S02-008,24,,35,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-009,boya-intermediate-i-lesson-02,2,真正的朋友,32,1,listening_part_2,听说（二）,,听说（二）,,"[25,31]",25–31,"[36,42]",36–42,"[""A02-007"",""A02-008"",""A02-009"",""A02-010"",""A02-011"",""A02-012""]",pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-009-01,boya-intermediate-i-lesson-02,2,真正的朋友,33,2,part_topic,如果我能选择,,听说（二）,S02-009,25,,36,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-010,boya-intermediate-i-lesson-02,2,真正的朋友,34,2,preparation,课前准备,,听说（二）,S02-009,"[25,26]",25–26,"[36,37]",36–37,"[""A02-007""]",pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-010-01,boya-intermediate-i-lesson-02,2,真正的朋友,35,3,vocabulary_list,词语,,听说（二）,S02-010,"[25,26]",25–26,"[36,37]",36–37,"[""A02-007""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-010-02,boya-intermediate-i-lesson-02,2,真正的朋友,36,3,research_preparation,查资料,,听说（二）,S02-010,26,,37,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-010-03,boya-intermediate-i-lesson-02,2,真正的朋友,37,3,classroom_exchange,课堂小组交流,,听说（二）,S02-010,26,,37,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-011,boya-intermediate-i-lesson-02,2,真正的朋友,38,2,vocabulary_comprehension,词语理解,,听说（二）,S02-009,"[26,27]",26–27,"[37,38]",37–38,"[""A02-008"",""A02-009""]",pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-011-01,boya-intermediate-i-lesson-02,2,真正的朋友,39,3,listening_questions,听对话，回答问题,,听说（二）,S02-011,26,,37,,"[""A02-008""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-011-02,boya-intermediate-i-lesson-02,2,真正的朋友,40,3,listening_multiple_choice,选出与所听到的句子意思相近的一项,,听说（二）,S02-011,"[26,27]",26–27,"[37,38]",37–38,"[""A02-009""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-011-03,boya-intermediate-i-lesson-02,2,真正的朋友,41,3,guided_speaking,用三至五句话回答问题，并使用画线词语,,听说（二）,S02-011,27,,38,,,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-012,boya-intermediate-i-lesson-02,2,真正的朋友,42,2,sentence_comprehension,语句理解,,听说（二）,S02-009,"[27,28]",27–28,"[38,39]",38–39,"[""A02-010"",""A02-011""]",pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-012-01,boya-intermediate-i-lesson-02,2,真正的朋友,43,3,listen_repeat_substitute,听录音，跟读句子，并替换画线词语各说一句话,,听说（二）,S02-012,27,,38,,"[""A02-010""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-012-02,boya-intermediate-i-lesson-02,2,真正的朋友,44,3,listening_fill_reflection,听录音，填空并谈谈自己的感受,,听说（二）,S02-012,28,,39,,"[""A02-011""]",visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
S02-013,boya-intermediate-i-lesson-02,2,真正的朋友,45,2,paragraph_comprehension,语段理解,,听说（二）,S02-009,"[28,29]",28–29,"[39,40]",39–40,"[""A02-012""]",pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
